gid,District Name,Facility Name,TotalTest,Manual Test,Automated Test,Total Asset,FAA,CC,SAA,Interface FAA,Interface CC,Interface SAA
14,Salem,Malliakarai,352,352,0,2,0,1,1,0,1,1
14,Salem,Mecheri,474,474,0,2,0,1,1,0,1,1
14,Salem,Mettur Dam-DHQ,579,579,0,2,0,1,1,0,1,1
14,Salem,Nangavalli,67,67,0,2,0,1,1,0,1,1
14,Salem,Pakkanadu,1,1,0,1,0,0,1,0,0,1
14,Salem,Panamarathupatti,551,551,0,2,0,1,1,0,1,1
14,Salem,Poolampatti,121,121,0,1,0,0,1,0,0,1
14,Salem,Sarakkapillaiyur,27,27,0,2,0,1,1,0,1,1
14,Salem,Thalaivasal,14,14,0,2,0,1,1,0,1,1
14,Salem,Thammampatti,1906,1906,0,2,0,1,1,0,1,1
14,Salem,Tharamangalam,2,2,0,2,0,1,1,0,0,1
14,Salem,Vadugapatti,39,39,0,2,0,1,1,0,1,1
14,Salem,Valavanthi,21,21,0,2,0,1,1,0,0,1
22,Sivaganga,Arasanur,205,205,0,1,0,0,1,0,0,1
22,Sivaganga,Edayamelur,343,343,0,2,0,1,1,0,1,1
22,Sivaganga,Kannankudi,129,129,0,2,0,1,1,0,1,1
22,Sivaganga,Karaikudi-DHQ,318,318,0,1,0,1,0,0,0,0
22,Sivaganga,Keelapoongudi,395,395,0,2,0,1,1,0,1,1
22,Sivaganga,Maravamangalam,115,115,0,2,0,1,1,0,1,1
22,Sivaganga,Muthanandal,204,204,0,2,0,1,1,0,1,1
22,Sivaganga,Nerkuppai,139,71,68,2,0,1,1,0,1,1
22,Sivaganga,Piranmalai,424,422,2,2,0,1,1,0,1,1
22,Sivaganga,Poovanthi,159,158,1,2,0,1,1,0,1,1
22,Sivaganga,Puduvayal,301,301,0,2,0,1,1,0,1,1
22,Sivaganga,Pulithipatti,142,98,44,2,0,1,1,0,1,1
22,Sivaganga,Salaigrammam,342,294,48,2,0,1,1,0,1,1
22,Sivaganga,Sembanur,391,381,10,2,0,1,1,0,1,1
22,Sivaganga,Thamarakki,117,117,0,1,0,0,1,0,0,1
22,Sivaganga,Velayuthapattinam,156,156,0,0,0,0,0,0,0,0
16,Thanjavur,Alagiyanayagipuram,395,395,0,2,0,1,1,0,1,1
16,Thanjavur,Alathur,212,206,6,2,0,1,1,0,1,1
16,Thanjavur,Kabisthalam,23,23,0,1,0,1,0,0,1,0
16,Thanjavur,Konulampallam,13,13,0,2,0,1,1,0,1,1
16,Thanjavur,Kumbakonam-DHQ,2,1,1,1,0,1,0,0,1,0
16,Thanjavur,Kuruvikkarambai,82,81,1,1,0,0,1,0,0,1
16,Thanjavur,Melattur,167,167,0,2,0,1,1,0,1,1
16,Thanjavur,Murukkangudi,68,68,0,2,0,1,1,0,1,1
16,Thanjavur,Naducauvery,426,426,0,1,0,1,0,0,1,0
16,Thanjavur,Palayapatti,60,60,0,2,0,1,1,0,1,1
16,Thanjavur,Patteeswaram I,183,183,0,2,0,1,1,0,1,1
16,Thanjavur,Perumagalur,111,111,0,1,0,0,1,0,0,1
16,Thanjavur,Siruvaviduthi,5,5,0,2,0,1,1,0,1,1
16,Thanjavur,Thamarankottai,399,399,0,2,0,1,1,0,1,1
16,Thanjavur,Thiruvonam,1,1,0,2,0,1,1,0,1,1
16,Thanjavur,Thondarampattu,219,219,0,2,0,1,1,0,1,1
16,Thanjavur,Umathanadu,115,115,0,1,0,0,1,0,0,1
16,Thanjavur,Vallam,379,379,0,2,0,1,1,0,1,1
4,Theni,Devathanapatti,79,78,1,2,0,1,1,0,1,1
4,Theni,Dombuchery,5,5,0,2,0,1,1,0,1,1
4,Theni,Gandamanur,1356,1356,0,2,0,1,1,0,1,1
4,Theni,Gudalur,46,46,0,2,0,1,1,0,1,1
4,Theni,Kadamalaikundu,1020,1007,13,2,0,1,1,0,1,1
4,Theni,Kombai,1134,1134,0,2,0,1,1,0,1,1
4,Theni,Kumananthozu,1,1,0,1,0,0,1,0,0,1
4,Theni,M.Subbulapuram,66,66,0,2,0,0,2,0,0,2
4,Theni,Odaipatty,83,83,0,2,0,1,1,0,1,1
