gid,District Name,Facility Name,TotalTest,Manual Test,Automated Test,Total Asset,FAA,CC,SAA,Interface FAA,Interface CC,Interface SAA
35,Kallakurichi,Thirunavalur,2,2,0,2,0,1,1,0,1,1
35,Kallakurichi,Thiyagadurgam,36,36,0,2,0,1,1,0,1,1
8,Villupuram,Valathi,182,182,0,2,0,1,1,0,1,1
20,Virudhunagar,A.Mukkulam,943,943,0,1,0,0,1,0,0,1
20,Virudhunagar,Elayirampannai,81,81,0,1,0,0,1,0,0,1
20,Virudhunagar,Kalkurichi,9,9,0,1,0,0,1,0,0,1
20,Virudhunagar,Kannicheriputhur,1477,1477,0,2,0,1,1,0,0,0
20,Virudhunagar,Kattanur,659,659,0,1,0,0,1,0,0,1
20,Virudhunagar,Kottaiyur,690,685,5,1,0,0,1,0,0,1
20,Virudhunagar,Kunnur,569,569,0,2,0,1,1,0,1,1
20,Virudhunagar,M.Pudupatti,415,413,2,2,0,1,1,0,1,1
20,Virudhunagar,M.Reddiyapatti,2508,2491,17,2,0,1,1,0,1,1
20,Virudhunagar,Mallankinaru,306,306,0,1,0,1,0,0,1,0
